student_id,subject_id,subject_name
2050531200262,122LTWNC01,Lập trình web nâng cao
2050531200262,122DHUD01,Đồ họa ứng dụng
2050531200262,122TCNX02,TH Công Nghệ XML
2050531200262,122QTM02,Quản trị Mạng
2050531200262,122TLTWNC02,TH Lập trình web nâng cao
2050531200262,122CDPM01,Chuyên đề phần mềm
2050531200262,122TLTTD06,TH Lập trình trên ĐTDĐ
2050531200262,122TTCMTKCSDL06,TTCM Thiết kế Cơ sở dữ liệu
2050531200262,122LTTD03,Lập trình trên ĐTDĐ
2050531200262,122TQTM03,TH Quản trị Mạng
2050531200262,122CNPM01,Công nghệ phần mềm
2050531200262,122CNX02,Công Nghệ XML
2050531200312,122LTWNC01,Lập trình web nâng cao
2050531200312,122CCSDL01,Chuyên đề Cơ sở dữ liệu
2050531200312,122TCNX03,TH Công Nghệ XML
2050531200312,122TLTWNC04,TH Lập trình web nâng cao
2050531200312,122CNPM02,Công nghệ phần mềm
2050531200312,122TLTTD04,TH Lập trình trên ĐTDĐ
2050531200312,122TQTM06,TH Quản trị Mạng
2050531200312,122TTCMTKCSDL04,TTCM Thiết kế Cơ sở dữ liệu
2050531200312,122QTM03,Quản trị Mạng
2050531200312,122CDPM01,Chuyên đề phần mềm
2050531200312,122LTTD03,Lập trình trên ĐTDĐ
2050531200312,122CNX02,Công Nghệ XML
